model,replication,accuracy,f1,recall,precision,roc_auc,best_params
Logistic Regression,1,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,2,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,3,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,4,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,5,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,6,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,7,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,8,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,9,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,10,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,11,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,12,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,13,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,14,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Logistic Regression,15,0.9595782073813708,0.9680111265646731,0.9747899159663865,0.9613259668508287,0.994767718408118,{'C': 1}
Random Forest,1,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,2,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,3,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,4,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,5,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,6,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,7,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,8,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,9,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,10,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,11,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,12,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,13,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,14,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Random Forest,15,0.9964850615114236,0.9972067039106145,1.0,0.9944289693593314,1.0,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
